Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-AR-A0TW-01A-11R-A084-07,0.0612081602859937,0,0.174155814229788,0.293071345006167,0,0.146332151653742,0.168161908606774,0.118435841343558,0.0105126693152768,0,0.0743186033073182,0,0.0164777295800495,0.0481408190849087,0.162695673012251,0.269083852654775,0.0302204684380001,0,0.114255913463606,0,0,0.0166701609946464,0.004,0.425984711497043,0.904055802291445,1.70374111097685
TCGA-B6-A0RM-01A-11R-A084-07,0.0345413134704725,0,0.0389428321456945,0.0574125858644007,0,0.185635387590041,0.000955665066056262,0.0455717536237749,0.031686436192266,0,0.00521972693769774,0.00107877470200905,0.00608539349780717,0.0360201207400481,0.0575996161569625,0.121119579167675,0.0574979022832351,0.00142286815337541,0.203787232647982,0,0,0.00219399278823094,0,0.573049099562392,0.836968672182109,0.886771181027729
TCGA-A7-A6VV-01A-22R-A33J-07,0.1655834997605,0,0.0692948203234358,0.081363836213833,0,0.202648305360087,0.00767437432493755,0.0781030163153534,0.117094040973398,0,0.0160214502794675,0,0,0.60578885744463,0.121961338346754,0.203506395580985,0.00415374740775833,0,0.0227788586966401,0,0,0.0191332435419976,0,0.652324850720106,0.776641775748292,1.71510578456978
TCGA-A1-A0SH-01A-11R-A084-07,0.124832209301379,0,0.082234533822149,0.0691724836775175,0,0.210632386247435,0,0.0228171904649666,0,0,0.0387546350351239,0,0.00309204355103288,0.130487781147768,0.0406706361936217,0.222587294750124,0.0119680222842199,0,0.159654016173854,0.00426896084024379,0,0.0128766528367758,0,0.592278010231489,0.82881886449901,1.13404884632621
TCGA-A2-A3XX-01A-21R-A239-07,0.3335237921882,0,0.188444361926381,0.146060425373431,0,0.112572837748757,0.016919712844652,0.147920693456415,0.159453550876713,0,0.0734903435815889,0,0,0.459348180293084,0.158686982980666,0.215550965596355,0,0,0.0583117161626524,0,0,0.0017017312959831,0.004,0.434653960388102,0.899832000123185,2.07198529432488
TCGA-BH-A1EN-01A-11R-A13Q-07,0.028030877978807,0,0.00846281064359816,0.0713351088225646,0,0.11385472711205,0.00279849562041978,0.0328878228830013,0.0328194632303734,0,0,0.0350026027104029,0.0172124312619021,0.0877526957959673,0.0452044782546187,0.255602970816018,0.0162793156010181,0,0.0806025574870087,0,0.000758096912229952,0.00519300462514782,0.164,0.0873657149045793,1.04760914075383,0.833797459755128
TCGA-A2-A3XW-01A-11R-A239-07,0.020559439979737,0.0112981465566421,0.00707005196114651,0.150056865123865,0,0.139611951174209,0,0.0475576497195732,0.163711085470777,0,0,0.050222049362289,0.0129338194904937,0.130124113023312,0.0522951457853937,0.289366183702301,0.139547818643522,0.035061099347367,0.167136394981366,0,0,0.0116141297790626,0,0.669553230677458,0.789403162547374,1.42816594410106
TCGA-B6-A0WT-01A-11R-A109-07,0.0973800954100838,0,0.169063966799855,0.0793460740130706,0,0.286353952295174,0.00428642160158035,0.0674211916454227,0.0620521943701967,0,0.00618444618606393,0,0,0.222426295363035,0.0885474219062362,0.253932052634769,0.0148296827522166,0.0405059147512613,0.214163237851099,0,0,0.0109238530157588,0.01,0.323507281843928,0.948491427400954,1.61741680059582
TCGA-EW-A1PC-01B-11R-A21T-07,0.0213758117211956,0.013309016742317,0.00638537405871415,0.0686086786476417,0,0.119320645719746,0,0.111904682188968,0.0584489900108934,0,0,0.024877907597434,0.00633151729165854,0.072323961517746,0.0663939404429203,0.190727084387875,0.0432896020288481,0.14710618268011,0.0373796593687983,0,0.000380307078681742,0.0181383209026508,0.012,0.303463480386648,0.960082424063865,1.0063016823862
TCGA-A2-A3XT-01A-11R-A22U-07,0.0866998840382281,0,0.0399379470148378,0.133343217160906,0,0.279460389271672,0.0356343419592685,0.0919414803266314,0.132772735280044,0,0.0481160499238295,0,0,0.968580624454402,0.249486917082903,0.235965514615484,0.0793701226347945,0,0.0606805864908614,0,0,0,0,0.573329708650135,0.821623046028547,2.44198981025386
